Ancient Greek Prose Data,Code Repo: https://github.com/QuantitativeCriticismLab/greek-genre-classification.git,Corpus: https://github.com/timgianitsos/tesserae.git,Code commit: 116ab759730f9312abc012cfe6e0f24933d1bc47,Corpus commit: 60a0b5c14f1ecc6269607eb9f426d7e8abb92fd0,Project: https://www.qcrit.org,Author: Tim Gianitsos,Note: Frequencies are per-character,,,,,,,,,,,,,,,,
file name,freq_allos,freq_autos,freq_circumstantial_markers,freq_conditional_markers,freq_conjunction,freq_demonstrative,freq_hina,freq_hopos,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_particles,freq_personal_pronouns,freq_reflexive,freq_sentence_with_relative_clause,freq_sentences_with_vocative_omega,freq_superlative,freq_temporal_causal_markers,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,variance_of_sentence_length
achilles_tatius.leucippe_et_clitophon.tess,0.0003655416108200317,0.002182172646410492,5.538509254848965e-05,0.0003987726663491255,0.008363148974821938,0.0017612459430419707,0.0001366165616196078,6.646211105818758e-05,0.0007896898098426938,0.08592233009708738,0.00206771012181028,0.009585313350391941,0.0038991105154136713,0.0003323105552909379,0.0883495145631068,0.022815533980582524,0.0002215403701939586,0.00035446459231033373,0.001074470795440699,0.00014030890112284045,35.015075376884425,131.47135922330096,7620.855975822414
aelian.de_natura_animalium.tess,0.0005041276374302204,0.002967108998013057,5.6178446399848614e-05,0.0006933602989876053,0.015747705553978617,0.0027897033778030086,0.00011235689279969723,4.5829785220929136e-05,0.0008372946874323709,0.010676156583629894,0.0017341399375532217,0.01115142161036995,0.00030011117418866494,0.000558827703661652,0.1592526690391459,0.005782918149466192,0.0005617844639984862,0.0005558709433248179,0.000836763175324061,1.9218942189421895e-05,40.819428571428574,150.44839857651246,8072.776251883831
aelian.epistulae_rusticae.tess,0.0005061094642469814,0.0027474513773407564,7.230135203528306e-05,0.0009399175764586798,0.016629310968115103,0.002458245969199624,0.0002892054081411322,0.00021690405610584918,0.0010258028880296695,0.11570247933884298,0.0016629310968115103,0.009399175764586798,0.00780854601981057,0.0003615067601764153,0.06611570247933884,0.04132231404958678,0.00021690405610584918,0.0005784108162822645,0.0006507121683175475,0.0,56.25,114.30578512396694,9530.956082234823
aelian.varia_historia.tess,0.000570562813954116,0.0040093603142721665,0.00012336493274683587,0.0005474318890640842,0.012058922176003208,0.0026407805916119557,0.000142640703488529,2.313092489003173e-05,0.0007613444306259766,0.03888596952180767,0.0013377384894735017,0.008650965908871867,0.0007440447506293539,0.00048574942269066627,0.16342616920651604,0.008407777193904361,0.0004433427270589414,0.000732479288184338,0.0004973148851356822,5.782731222507932e-05,40.44166666666667,136.30740935365213,6253.442546257539
aelius_aristides.ars_rhetorica.tess,0.000691494616220488,0.002137346995590599,8.980449561305039e-05,0.0006286314692913527,0.012994710515208391,0.0026043303727784615,0.00013470674341957558,9.878494517435543e-05,0.0016413470236596444,0.06963788300835655,0.0019756989034871086,0.009438452488931597,0.000691494616220488,0.0003681984320135066,0.15181058495821728,0.001392757660167131,0.00017960899122610078,0.0015715786732283818,0.0015985200219122968,0.0001167458442969655,37.94736842105263,155.08774373259052,15718.76806705411
aelius_aristides.orationes.tess,0.0006756060356200527,0.002675111312664908,0.000190159135883905,0.0013666721635883904,0.013642500824538259,0.0033744228232189975,9.018387203166227e-05,0.00016748433377308707,0.0011859373491722122,0.1774193548387097,0.0021314313984168868,0.009537846306068602,0.0022381060356200526,0.0005029683377308707,0.25553263315828956,0.0436046511627907,0.0003179625659630607,0.0004931769459102902,0.001168782981530343,0.0002380854221635884,44.40072403230298,181.96549137284322,21233.122590099996
aeschines.against_ctesiphon.tess,0.0003365126076757866,0.001923400492891996,0.00015505973098786245,0.0010326318255149138,0.01004919022529849,0.0023555882537305063,0.00022764088166303211,5.60854346126311e-05,0.0008087460104270468,0.14202334630350194,0.001784836477966672,0.00751214909488006,0.0034377072274330354,0.0004420851904760334,0.2697795071335927,0.08171206225680934,0.00023423916808804754,0.000630136353588973,0.000903965240227113,0.00015176058777535475,40.66068222621185,196.5687418936446,26905.80947688668
aeschines.against_timarchus.tess,0.00034576652115658903,0.0024095604443099797,0.00022690927950901155,0.0013398452694817825,0.010005618705968795,0.002971431041189437,0.0002593248908674418,9.724683407529066e-05,0.0010828685537300747,0.13450292397660818,0.0018152742360720924,0.007401564593508233,0.0029174050222587197,0.0006375070233824609,0.26705653021442494,0.09161793372319688,0.00022690927950901155,0.0006591174309547478,0.0008968319142499027,0.00017288326057829452,38.86740331491713,180.40545808966863,21155.570496525037
aeschines.on_the_embassy.tess,0.0003552103437252093,0.0015274044780183998,9.472275832672248e-05,0.0007341013770320991,0.01036030169198527,0.0019299762009069704,0.0001302437926992434,3.552103437252093e-05,0.0006330749354005168,0.13043478260869565,0.001799732408207727,0.008229039629634016,0.004878222053826207,0.00028416827498016744,0.2826086956521739,0.06521739130434782,0.0002486472406076465,0.000497294481215293,0.001112992410338989,0.00017760517186260464,43.44654088050314,204.0024154589372,25415.9637622815
andocides.against_alcibiades.tess,0.0007194984068249563,0.002107102477130229,5.139274334463974e-05,0.000976462123548155,0.010946654332408264,0.0034433138040908624,0.0001541782300339192,5.139274334463974e-05,0.00037678975131876413,0.042105263157894736,0.0024154589371980675,0.008993730085311954,0.0020557097337855893,0.0003083564600678384,0.25263157894736843,0.010526315789473684,0.0006167129201356768,0.0005653201767910371,0.000770891150169596,0.00046253469010175765,50.41935483870968,204.82105263157894,11449.936398891967
andocides.on_his_return.tess,0.0003137008862050035,0.0024311818680887772,0.00023527566465375265,0.001960630538781272,0.01066583013097012,0.0048623637361775544,0.0,7.842522155125088e-05,0.0024160626510039158,0.057971014492753624,0.0018037800956787703,0.008391498705983845,0.00886205003529135,0.0015685044310250176,0.3188405797101449,0.08695652173913043,0.0007058269939612579,0.0004705513293075053,0.0005489765508587561,0.0005489765508587561,44.608695652173914,184.79710144927537,13161.929846670866
