drama:0,miscellaneous_or_elegy_or_epic:1
Text_Name,Genre
Anonymous Laudes Domini,1
Catullus Elegy,1
Catullus Epic,1
Catullus Misc,1
Claudian Carmina Minora,1
Claudian De Bello Gildonico,1
Claudian De Bello Gothico,1
Claudian De Consulatu Stilichonis Part 1,1
Claudian De Consulatu Stilichonis Part 2,1
Claudian De Consulatu Stilichonis Part 3,1
Claudian De Raptu Proserpinae Part 1,1
Claudian De Raptu Proserpinae Part 2,1
Claudian De Raptu Proserpinae Part 3,1
Claudian Epithalamium De Nuptiis Honorii Augusti,1
Claudian In Consulatum Olybrii Et Probini,1
Claudian In Eutropium Part 1,1
Claudian In Eutropium Part 2,1
Claudian In Rufinum Part 1,1
Claudian In Rufinum Part 2,1
Claudian Panegyricus De Quarto Consulatu Honorii Augusti,1
Claudian Panegyricus De Sexto Consulatu Honorii Augusti,1
Claudian Panegyricus De Tertio Consulatu Honorii Augusti,1
Claudian Panegyricus Dictus Manlio Theodoro Consuli,1
Dracontius Romulea 10,1
Ennius Annales,1
Ennodius Opera,1
Horace Ars Poetica,1
Horace Carmen Saeculare,1
Horace Epistles,1
Horace Epodes,1
Horace Odes Part 1,1
Horace Odes Part 2,1
Horace Odes Part 3,1
Horace Odes Part 4,1
Horace Satires Part 1,1
Horace Satires Part 2,1
Italicus Ilias Latina,1
Juvenal Satires,1
Juvencus Historia Evangelica Part 1,1
Juvencus Historia Evangelica Part 2,1
Juvencus Historia Evangelica Part 3,1
Juvencus Historia Evangelica Part 4,1
Lucan Bellum Civile Part 1,1
Lucan Bellum Civile Part 10,1
Lucan Bellum Civile Part 2,1
Lucan Bellum Civile Part 3,1
Lucan Bellum Civile Part 4,1
Lucan Bellum Civile Part 5,1
Lucan Bellum Civile Part 6,1
Lucan Bellum Civile Part 7,1
Lucan Bellum Civile Part 8,1
Lucan Bellum Civile Part 9,1
Lucretius De Rerum Natura Part 1,1
Lucretius De Rerum Natura Part 2,1
Lucretius De Rerum Natura Part 3,1
Lucretius De Rerum Natura Part 4,1
Lucretius De Rerum Natura Part 5,1
Lucretius De Rerum Natura Part 6,1
Manilius Astronomicon Part 1,1
Manilius Astronomicon Part 2,1
Manilius Astronomicon Part 3,1
Manilius Astronomicon Part 4,1
Manilius Astronomicon Part 5,1
Martial Epigrams Part 1,1
Martial Epigrams Part 10,1
Martial Epigrams Part 11,1
Martial Epigrams Part 12,1
Martial Epigrams Part 13,1
Martial Epigrams Part 14,1
Martial Epigrams Part 2,1
Martial Epigrams Part 3,1
Martial Epigrams Part 4,1
Martial Epigrams Part 5,1
Martial Epigrams Part 6,1
Martial Epigrams Part 7,1
Martial Epigrams Part 8,1
Martial Epigrams Part 9,1
Ovid Amores Part 1,1
Ovid Amores Part 2,1
Ovid Amores Part 3,1
Ovid Ars Amatoria Part 1,1
Ovid Ars Amatoria Part 2,1
Ovid Ars Amatoria Part 3,1
Ovid Ex Ponto Part 1,1
Ovid Ex Ponto Part 2,1
Ovid Ex Ponto Part 3,1
