philosophy:0,history_or_oratory_or_miscellaneous_or_letters_or_technical_treatise:1
Text_Name,Genre
Ammianus Rerum Gestarum Part 14,1
Ammianus Rerum Gestarum Part 15,1
Ammianus Rerum Gestarum Part 16,1
Ammianus Rerum Gestarum Part 17,1
Ammianus Rerum Gestarum Part 18,1
Ammianus Rerum Gestarum Part 19,1
Ammianus Rerum Gestarum Part 20,1
Ammianus Rerum Gestarum Part 21,1
Ammianus Rerum Gestarum Part 22,1
Ammianus Rerum Gestarum Part 23,1
Ammianus Rerum Gestarum Part 24,1
Ammianus Rerum Gestarum Part 25,1
Ammianus Rerum Gestarum Part 26,1
Ammianus Rerum Gestarum Part 27,1
Ammianus Rerum Gestarum Part 28,1
Ammianus Rerum Gestarum Part 29,1
Ammianus Rerum Gestarum Part 30,1
Ammianus Rerum Gestarum Part 31,1
Apuleius Apologia,1
Apuleius Florida,1
Apuleius Metamorphoses Part 1,1
Apuleius Metamorphoses Part 10,1
Apuleius Metamorphoses Part 11,1
Apuleius Metamorphoses Part 2,1
Apuleius Metamorphoses Part 3,1
Apuleius Metamorphoses Part 4,1
Apuleius Metamorphoses Part 5,1
Apuleius Metamorphoses Part 6,1
Apuleius Metamorphoses Part 7,1
Apuleius Metamorphoses Part 8,1
Apuleius Metamorphoses Part 9,1
Augustine Epistulae Selections Part 1 1-10,1
Augustine Epistulae Selections Part 2 11-20,1
Augustine Epistulae Selections Part 3 21-30,1
Augustine Epistulae Selections Part 4 31-40,1
Augustine Epistulae Selections Part 5 41-50,1
Augustine Epistulae Selections Part 6 51-62,1
Caesar Augustus Res Gestae Divi Augusti,1
Caesar De Bello Civili Part 1,1
Caesar De Bello Civili Part 2,1
Caesar De Bello Civili Part 3,1
Caesar De Bello Gallico Part 1,1
Caesar De Bello Gallico Part 2,1
Caesar De Bello Gallico Part 3,1
Caesar De Bello Gallico Part 4,1
Caesar De Bello Gallico Part 5,1
Caesar De Bello Gallico Part 6,1
Caesar De Bello Gallico Part 7,1
Caesar De Bello Gallico Part 8,1
Celsus De Medicina Part 1,1
Celsus De Medicina Part 2,1
Celsus De Medicina Part 3,1
Celsus De Medicina Part 4,1
Celsus De Medicina Part 5,1
Celsus De Medicina Part 6,1
Celsus De Medicina Part 7,1
Celsus De Medicina Part 8,1
Cicero Academica,0
Cicero Brutus,0
Cicero Cum Populo Gratias Egit,1
Cicero De Amicitia,0
Cicero De Divinatione,0
Cicero De Domo Sua,1
Cicero De Fato,0
Cicero De Finibus Bonorum Et Malorum Part 1,0
Cicero De Finibus Bonorum Et Malorum Part 2,0
Cicero De Finibus Bonorum Et Malorum Part 3,0
Cicero De Finibus Bonorum Et Malorum Part 4,0
Cicero De Finibus Bonorum Et Malorum Part 5,0
Cicero De Haruspicum Responso,0
Cicero De Imperio Cn Pompei,1
Cicero De Inventione Part 1,1
Cicero De Inventione Part 2,1
Cicero De Lege Agraria Contra Rullum,1
Cicero De Natura Deorum Part 1,0
Cicero De Natura Deorum Part 2,0
Cicero De Natura Deorum Part 3,0
Cicero De Officiis Part 1,0
Cicero De Officiis Part 2,0
Cicero De Officiis Part 3,0
Cicero De Optimo Genere Oratorum,0
Cicero De Oratore Part 1,0
Cicero De Oratore Part 2,0
Cicero De Oratore Part 3,0
Cicero De Partitione Oratoria,1
Cicero De Provinciis Consularibus,1
Cicero De Republica,0
Cicero De Senectute,0
Cicero Divinatio In C Verrem Part 1,1
