history:0,oratory:1,miscellaneous:2,letters:3,technical_treatise:4,philosophy:5
Textname,Genre
Ammianus Rerum Gestarum Part 14,0
Ammianus Rerum Gestarum Part 15,0
Ammianus Rerum Gestarum Part 16,0
Ammianus Rerum Gestarum Part 17,0
Ammianus Rerum Gestarum Part 18,0
Ammianus Rerum Gestarum Part 19,0
Ammianus Rerum Gestarum Part 20,0
Ammianus Rerum Gestarum Part 21,0
Ammianus Rerum Gestarum Part 22,0
Ammianus Rerum Gestarum Part 23,0
Ammianus Rerum Gestarum Part 24,0
Ammianus Rerum Gestarum Part 25,0
Ammianus Rerum Gestarum Part 26,0
Ammianus Rerum Gestarum Part 27,0
Ammianus Rerum Gestarum Part 28,0
Ammianus Rerum Gestarum Part 29,0
Ammianus Rerum Gestarum Part 30,0
Ammianus Rerum Gestarum Part 31,0
Apuleius Apologia,1
Apuleius Florida,1
Apuleius Metamorphoses Part 1,2
Apuleius Metamorphoses Part 10,2
Apuleius Metamorphoses Part 11,2
Apuleius Metamorphoses Part 2,2
Apuleius Metamorphoses Part 3,2
Apuleius Metamorphoses Part 4,2
Apuleius Metamorphoses Part 5,2
Apuleius Metamorphoses Part 6,2
Apuleius Metamorphoses Part 7,2
Apuleius Metamorphoses Part 8,2
Apuleius Metamorphoses Part 9,2
Augustine Epistulae Selections Part 1 1-10,3
Augustine Epistulae Selections Part 2 11-20,3
Augustine Epistulae Selections Part 3 21-30,3
Augustine Epistulae Selections Part 4 31-40,3
Augustine Epistulae Selections Part 5 41-50,3
Augustine Epistulae Selections Part 6 51-62,3
Caesar Augustus Res Gestae Divi Augusti,0
Caesar De Bello Civili Part 1,0
Caesar De Bello Civili Part 2,0
Caesar De Bello Civili Part 3,0
Caesar De Bello Gallico Part 1,0
Caesar De Bello Gallico Part 2,0
Caesar De Bello Gallico Part 3,0
Caesar De Bello Gallico Part 4,0
Caesar De Bello Gallico Part 5,0
Caesar De Bello Gallico Part 6,0
Caesar De Bello Gallico Part 7,0
Caesar De Bello Gallico Part 8,0
Celsus De Medicina Part 1,4
Celsus De Medicina Part 2,4
Celsus De Medicina Part 3,4
Celsus De Medicina Part 4,4
Celsus De Medicina Part 5,4
Celsus De Medicina Part 6,4
Celsus De Medicina Part 7,4
Celsus De Medicina Part 8,4
Cicero Academica,5
Cicero Brutus,5
Cicero Cum Populo Gratias Egit,1
Cicero De Amicitia,5
Cicero De Divinatione,5
Cicero De Domo Sua,1
Cicero De Fato,5
Cicero De Finibus Bonorum Et Malorum Part 1,5
Cicero De Finibus Bonorum Et Malorum Part 2,5
Cicero De Finibus Bonorum Et Malorum Part 3,5
Cicero De Finibus Bonorum Et Malorum Part 4,5
Cicero De Finibus Bonorum Et Malorum Part 5,5
Cicero De Haruspicum Responso,5
Cicero De Imperio Cn Pompei,1
Cicero De Inventione Part 1,4
Cicero De Inventione Part 2,4
Cicero De Lege Agraria Contra Rullum,1
Cicero De Natura Deorum Part 1,5
Cicero De Natura Deorum Part 2,5
Cicero De Natura Deorum Part 3,5
Cicero De Officiis Part 1,5
Cicero De Officiis Part 2,5
Cicero De Officiis Part 3,5
Cicero De Optimo Genere Oratorum,5
Cicero De Oratore Part 1,5
Cicero De Oratore Part 2,5
Cicero De Oratore Part 3,5
