miscellaneous:0,elegy:1,epic:2,drama:3
Textname,Genre
Anonymous Laudes Domini,0
Catullus Elegy,1
Catullus Epic,2
Catullus Misc,0
Claudian Carmina Minora,0
Claudian De Bello Gildonico,2
Claudian De Bello Gothico,2
Claudian De Consulatu Stilichonis Part 1,2
Claudian De Consulatu Stilichonis Part 2,2
Claudian De Consulatu Stilichonis Part 3,2
Claudian De Raptu Proserpinae Part 1,2
Claudian De Raptu Proserpinae Part 2,2
Claudian De Raptu Proserpinae Part 3,2
Claudian Epithalamium De Nuptiis Honorii Augusti,0
Claudian In Consulatum Olybrii Et Probini,0
Claudian In Eutropium Part 1,2
Claudian In Eutropium Part 2,2
Claudian In Rufinum Part 1,2
Claudian In Rufinum Part 2,2
Claudian Panegyricus De Quarto Consulatu Honorii Augusti,0
Claudian Panegyricus De Sexto Consulatu Honorii Augusti,0
Claudian Panegyricus De Tertio Consulatu Honorii Augusti,0
Claudian Panegyricus Dictus Manlio Theodoro Consuli,0
Dracontius Romulea 10,2
Ennius Annales,2
Ennodius Opera,0
Horace Ars Poetica,0
Horace Carmen Saeculare,0
Horace Epistles,0
Horace Epodes,0
Horace Odes Part 1,0
Horace Odes Part 2,0
Horace Odes Part 3,0
Horace Odes Part 4,0
Horace Satires Part 1,0
Horace Satires Part 2,0
Italicus Ilias Latina,2
Juvenal Satires,0
Juvencus Historia Evangelica Part 1,2
Juvencus Historia Evangelica Part 2,2
Juvencus Historia Evangelica Part 3,2
Juvencus Historia Evangelica Part 4,2
Lucan Bellum Civile Part 1,2
Lucan Bellum Civile Part 10,2
Lucan Bellum Civile Part 2,2
Lucan Bellum Civile Part 3,2
Lucan Bellum Civile Part 4,2
Lucan Bellum Civile Part 5,2
Lucan Bellum Civile Part 6,2
Lucan Bellum Civile Part 7,2
Lucan Bellum Civile Part 8,2
Lucan Bellum Civile Part 9,2
Lucretius De Rerum Natura Part 1,2
Lucretius De Rerum Natura Part 2,2
Lucretius De Rerum Natura Part 3,2
Lucretius De Rerum Natura Part 4,2
Lucretius De Rerum Natura Part 5,2
Lucretius De Rerum Natura Part 6,2
Manilius Astronomicon Part 1,2
Manilius Astronomicon Part 2,2
Manilius Astronomicon Part 3,2
Manilius Astronomicon Part 4,2
Manilius Astronomicon Part 5,2
Martial Epigrams Part 1,0
Martial Epigrams Part 10,0
Martial Epigrams Part 11,0
Martial Epigrams Part 12,0
Martial Epigrams Part 13,0
Martial Epigrams Part 14,0
Martial Epigrams Part 2,0
Martial Epigrams Part 3,0
Martial Epigrams Part 4,0
Martial Epigrams Part 5,0
Martial Epigrams Part 6,0
Martial Epigrams Part 7,0
Martial Epigrams Part 8,0
Martial Epigrams Part 9,0
Ovid Amores Part 1,1
Ovid Amores Part 2,1
Ovid Amores Part 3,1
Ovid Ars Amatoria Part 1,1
Ovid Ars Amatoria Part 2,1
Ovid Ars Amatoria Part 3,1
Ovid Ex Ponto Part 1,1
Ovid Ex Ponto Part 2,1
Ovid Ex Ponto Part 3,1
Ovid Ex Ponto Part 4,1
Ovid Fasti Part 1,1
Ovid Fasti Part 2,1
Ovid Fasti Part 3,1
Ovid Fasti Part 4,1
Ovid Fasti Part 5,1
Ovid Fasti Part 6,1
