Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Ammianus Rerum Gestarum Part 14,history,0.00036,0.00429,0.00088,0.00066,0.00002,0.00051,0.00021,0.0006,0,0.00002,0,0.00017,0.00002,0.00202,0.00051,0.00395,0.00004,0.00039,0.00021,0.61132,34.46091,0.00024,0.00058,0.01244,0,199.94757
Ammianus Rerum Gestarum Part 15,history,0.00042,0.00404,0.00049,0.0008,0,0.00056,0.00042,0.00036,0,0.00007,0,0.00027,0,0.00233,0.00033,0.00364,0,0.00053,0.00004,0.47984,35.01695,0.00036,0.0004,0.01187,0,181.45161
Ammianus Rerum Gestarum Part 16,history,0.00034,0.00361,0.0008,0.00098,0.00004,0.0005,0.0004,0.00028,0,0.00004,0,0.0002,0.00002,0.00191,0.00046,0.00349,0.00008,0.00052,0.00004,0.54167,34.62222,0.00046,0.00058,0.01251,0.00002,204.14344
Ammianus Rerum Gestarum Part 17,history,0.00054,0.0033,0.00039,0.0008,0,0.00043,0.00035,0.00035,0,0.00004,0,0.00026,0,0.00201,0.0005,0.00291,0.00004,0.00045,0.00009,0.49071,32.27273,0.00037,0.00039,0.01302,0,170.93727
Ammianus Rerum Gestarum Part 18,history,0.00076,0.00336,0.00048,0.00048,0,0.00033,0.00036,0.00036,0,0,0,0.00054,0.00006,0.00166,0.00036,0.00375,0.00012,0.001,0.00006,0.56757,31.62595,0.00045,0.0007,0.0124,0,217.49342
Ammianus Rerum Gestarum Part 19,history,0.00048,0.00228,0.00058,0.00029,0,0.00077,0.00029,0.00024,0.00003,0.00005,0.00003,0.00034,0,0.00188,0.00024,0.00371,0,0.0005,0.00003,0.53757,35.57333,0.00016,0.00042,0.01194,0,218.2659
Ammianus Rerum Gestarum Part 20,history,0.00045,0.00322,0.0004,0.00054,0,0.0004,0.00035,0.00042,0,0.00005,0,0.00028,0,0.00165,0.0004,0.00294,0,0.00061,0.00012,0.57466,31.47312,0.00019,0.00087,0.01317,0,192.36199
Ammianus Rerum Gestarum Part 21,history,0.00041,0.00412,0.00054,0.00088,0,0.00063,0.0003,0.00028,0,0.00009,0,0.00028,0.00009,0.00222,0.00052,0.0036,0.00004,0.00058,0.00004,0.52823,31.8806,0.0006,0.00063,0.01377,0,185.564
Ammianus Rerum Gestarum Part 22,history,0.00031,0.00408,0.00065,0.00058,0,0.00063,0.00044,0.00051,0,0.00003,0,0.00019,0.00007,0.00169,0.00035,0.00408,0.00005,0.00054,0.00005,0.63667,36.86207,0.00047,0.00045,0.01376,0.00005,189.24752
Ammianus Rerum Gestarum Part 23,history,0.00036,0.00436,0.00041,0.00046,0,0.00064,0.00057,0.00046,0,0.00009,0,0.00011,0,0.00178,0.00043,0.00422,0,0.001,0.00011,0.55762,36.38863,0.00023,0.00034,0.01556,0,162.95911
