Corpus Name,genre,Personal Pronouns,Demonstrative Pronouns,Quidam,Reflexive Pronouns,Iste,Alius,Ipse,Idem,Priusquam,Antequam,Quominus,Dum,Quin,Ut,Conditionals,Prepositions,Interrogative Sentences,Superlatives,Atque + consonant,Relative Clauses,Mean Length Relative Clauses,Gerunds and Gerundives,Cum,Conjunctions,Vocatives,Mean Sentence Length
Anonymous Laudes Domini,miscellaneous,0.0046,0.0011,0,0.00074,0,0,0.00018,0.00018,0,0,0,0,0,0.00129,0.00055,0.00129,0.0011,0,0.00018,0.42424,49.73913,0.00074,0.00055,0.01363,0,132.46341
Catullus Elegy,elegy,0.00845,0.00542,0.00009,0.00101,0.00028,0.00014,0.00106,0.00014,0,0,0,0.00028,0.00014,0.00124,0.00179,0.00216,0.00152,0.00005,0.00023,0.51765,33.82963,0.00028,0.00023,0.01075,0.00028,107.24631
Catullus Epic,epic,0.0029,0.00215,0,0.00081,0,0.0002,0.00074,0,0,0,0,0.00007,0,0.00108,0.00013,0.00202,0.00101,0.00007,0,0.39362,51.01887,0.00013,0.00034,0.00747,0.00013,136.23853
Catullus Misc,miscellaneous,0.00757,0.00362,0.00009,0.00068,0.00045,0.00027,0.00047,0.00033,0.00003,0,0,0.00033,0.00006,0.00175,0.00128,0.00136,0.00243,0.0003,0.00024,0.34505,30.02027,0.00021,0.0005,0.01383,0.00131,85.33418
Claudian Carmina Minora,miscellaneous,0.00266,0.00216,0,0.00059,0.00002,0.0002,0.00048,0.00016,0,0,0,0.00019,0.00008,0.00041,0.00055,0.00258,0.00137,0.00016,0.00009,0.23423,36.47429,0.00028,0.00023,0.01303,0.00016,99.53344
Claudian De Bello Gildonico,epic,0.00278,0.00236,0,0.00058,0,0.0001,0.00047,0.0001,0,0,0,0.00031,0,0.00068,0.00131,0.00173,0.00252,0.00016,0,0.21111,28.35417,0.00016,0.00026,0.0139,0.00016,83.59211
Claudian De Bello Gothico,epic,0.00173,0.00193,0,0.00049,0,0.00012,0.00054,0.00016,0,0,0,0.00045,0.00004,0.00062,0.00095,0.00247,0.00099,0.00008,0.00004,0.26316,48.55172,0.00004,0.00025,0.01395,0.00021,138.04545
Claudian De Consulatu Stilichonis Part 1,epic,0.00206,0.00221,0,0.00043,0.00007,0.00028,0.00021,0,0,0,0,0.00007,0.00007,0.00064,0.00078,0.00164,0.00135,0.00014,0,0.28723,35.53659,0.00014,0.00021,0.01161,0,120.04274
Claudian De Consulatu Stilichonis Part 2,epic,0.00276,0.00224,0,0.00034,0.00006,0.00017,0.00052,0.00029,0,0,0,0.00023,0.00011,0.00109,0.00034,0.00189,0.00121,0.00011,0,0.3913,39.04167,0.00034,0.00023,0.01269,0,126.19565
Claudian De Consulatu Stilichonis Part 3,epic,0.00161,0.00307,0,0.00063,0.00007,0.00035,0.00063,0.00014,0,0,0,0.00007,0.00007,0.00028,0.00035,0.00202,0.00098,0,0,0.375,39.47458,0.00028,0.00014,0.0127,0.00021,120.42017
Claudian De Raptu Proserpinae Part 1,epic,0.00165,0.00101,0,0.00037,0,0,0.00018,0,0,0,0,0.00009,0,0,0.00027,0.00119,0.00119,0.00046,0,0.29231,62.33333,0.00027,0.00009,0.01327,0.00009,138.29114
Claudian De Raptu Proserpinae Part 2,epic,0.0023,0.00178,0,0.00053,0,0.00033,0.00013,0,0,0,0,0.0002,0.00013,0.00007,0.0002,0.00165,0.00079,0.00013,0,0.11504,29.78261,0.0002,0.00007,0.0133,0.00026,121.496
Claudian De Raptu Proserpinae Part 3,epic,0.00294,0.00251,0,0.00049,0,0.00012,0.00049,0,0,0,0,0.00024,0.00012,0.00049,0.00073,0.00147,0.00349,0.00006,0,0.17518,39.0303,0.00018,0.00006,0.01382,0.00018,84.28351
Claudian Epithalamium De Nuptiis Honorii Augusti,miscellaneous,0.00235,0.00288,0,0.00053,0,0.00023,0.00053,0,0,0,0,0.00015,0,0.0003,0.00008,0.00159,0.00167,0.0003,0,0.23333,27.39474,0.00023,0.00045,0.01183,0.00008,92.8662
Claudian In Consulatum Olybrii Et Probini,miscellaneous,0.00207,0.00207,0,0.0003,0.0001,0.0001,0.00039,0,0,0,0,0,0,0.0003,0.00049,0.00414,0.00049,0.0001,0,0.32432,43.57143,0.00039,0,0.01133,0.0002,128.48101
Claudian In Eutropium Part 1,epic,0.00134,0.00247,0.00011,0.00107,0.00011,0.00021,0.00027,0.00011,0,0,0,0.00038,0.00005,0.00054,0.0007,0.00242,0.00322,0.00032,0,0.25564,31.06977,0.00038,0.00032,0.01412,0.00005,97.50785
Claudian In Eutropium Part 2,epic,0.00171,0.00232,0,0.00077,0,0.00037,0.00045,0.00008,0,0,0,0.00045,0.00004,0.00029,0.00057,0.00236,0.00183,0.00016,0,0.27861,34.61364,0.00024,0.00029,0.01267,0.00008,101.04527
Claudian In Rufinum Part 1,epic,0.00246,0.00185,0,0.00021,0.00014,0.00007,0.00034,0.00007,0,0,0,0,0,0.00021,0.00068,0.00151,0.00096,0.00007,0,0.21818,45.11765,0.00021,0.00034,0.0143,0.00014,117.85484
Claudian In Rufinum Part 2,epic,0.00247,0.00227,0,0.00086,0.0001,0.00035,0.0003,0.00005,0,0,0,0.0003,0.00005,0.00025,0.00055,0.00252,0.00196,0.00015,0,0.23214,37.67925,0.0004,0.00005,0.01369,0,95.96618
Claudian Panegyricus De Quarto Consulatu Honorii Augusti,miscellaneous,0.0037,0.00181,0,0.00072,0.00004,0.00008,0.00055,0.00013,0,0,0,0.00013,0.00004,0.00034,0.0008,0.00185,0.00151,0.00013,0,0.21134,30.13846,0.00029,0.00046,0.01203,0.00004,103.34348
Claudian Panegyricus De Sexto Consulatu Honorii Augusti,miscellaneous,0.0026,0.0018,0,0.0008,0.00004,0.00008,0.00036,0.00016,0,0,0,0.00024,0.00004,0.00056,0.00044,0.00224,0.00148,0.00016,0.00004,0.33333,47.75342,0.00016,0.00032,0.01374,0.00008,131.74737
Claudian Panegyricus De Tertio Consulatu Honorii Augusti,miscellaneous,0.00412,0.00109,0,0.00036,0,0,0.00024,0,0,0,0,0,0,0.00073,0.00036,0.00327,0.00061,0.00012,0,0.2549,37.85714,0.00024,0,0.01368,0.00036,147.53571
Claudian Panegyricus Dictus Manlio Theodoro Consuli,miscellaneous,0.00245,0.00146,0,0.001,0,0.00046,0.00054,0.00038,0,0,0,0.00008,0.00008,0.00046,0,0.00169,0.00146,0.00023,0,0.27174,41.11321,0.00031,0,0.01425,0,117.55856
Dracontius Romulea 10,epic,0.00226,0.00171,0,0.00032,0.00005,0,0.0005,0,0,0,0,0.00032,0,0.0009,0.00072,0.00298,0.00077,0.00005,0.00014,0.28221,40.62857,0.00054,0.00045,0.01133,0.00005,123.12222
Ennius Annales,epic,0.00329,0.0019,0,0.0014,0.00005,0.00005,0.00015,0.0004,0.0001,0,0,0.0002,0,0.0003,0.0007,0.00285,0.0002,0.0002,0.00015,0.2967,92.45333,0.00025,0.00005,0.01253,0.0003,210.88421
Ennodius Opera,miscellaneous,0.00241,0.00212,0.00002,0.00022,0.00022,0.00002,0.00019,0.00005,0,0,0,0.00062,0,0.00051,0.00081,0.00236,0.00075,0.00006,0.00002,0.35256,25.21307,0.00043,0.00029,0.00509,0,77.40791
Horace Ars Poetica,miscellaneous,0.00252,0.00229,0.00006,0.00052,0.00011,0.00006,0.00023,0.00034,0,0,0,0.00017,0.00006,0.00132,0.00212,0.00172,0.00103,0.00006,0.00029,0.36719,27.7,0.0004,0.00023,0.01956,0.00006,119.41096
Horace Carmen Saeculare,miscellaneous,0.00166,0.00055,0,0,0,0.00055,0,0.00055,0,0,0,0,0,0.00055,0.00111,0.00111,0,0,0,0.41667,45.71429,0,0,0.0238,0.00055,150.58333
Horace Epistles,miscellaneous,0.00497,0.00249,0.00007,0.00053,0.00018,0.00013,0.00028,0.00039,0,0,0,0.00039,0.00004,0.00158,0.00274,0.00195,0.0019,0.00009,0.00042,0.42442,29.61753,0.00044,0.00031,0.0168,0.00004,121.72197
Horace Epodes,miscellaneous,0.00433,0.00234,0,0,0.00006,0.00018,0.00018,0,0,0,0,0.00012,0.00012,0.00199,0.00064,0.00193,0.00222,0.00018,0.00053,0.33019,37.65,0.00023,0.00047,0.01356,0.00041,118.79861
Horace Odes Part 1,miscellaneous,0.00511,0.00115,0,0.00018,0,0.00022,0.00026,0,0,0,0,0.0004,0.00004,0.00057,0.00044,0.00181,0.00176,0,0.0004,0.32692,42.77049,0.0004,0.00022,0.01393,0.00044,115.72449
Horace Odes Part 2,miscellaneous,0.00447,0.00114,0,0.00021,0,0.00007,0.00014,0.00035,0,0,0,0.00021,0.00007,0.00007,0.00085,0.00177,0.00156,0.00007,0.00028,0.18605,50.29412,0.00014,0.00007,0.01455,0.00007,130.4537
Horace Odes Part 3,miscellaneous,0.00375,0.00156,0,0.00024,0,0.0002,0.00008,0.00016,0,0.00008,0,0.00036,0.00004,0.00032,0.00128,0.0024,0.00104,0,0.00008,0.25882,42.12903,0.00012,0.00008,0.01457,0.00032,128.46667
Horace Odes Part 4,miscellaneous,0.00394,0.00129,0,0.00007,0,0.00007,0.00007,0.00007,0,0,0,0.00014,0,0.00054,0.00061,0.00279,0.00068,0,0.00014,0.44944,40.96429,0.00041,0.00027,0.01373,0.00027,148.64646
Horace Satires Part 1,miscellaneous,0.00589,0.00608,0.00032,0.00079,0.00016,0.0004,0.00029,0.00016,0,0.00003,0,0.0004,0.00011,0.00246,0.00174,0.00182,0.00211,0.00034,0.00092,0.37662,26.63584,0.00024,0.00063,0.01559,0.00018,97.56443
Horace Satires Part 2,miscellaneous,0.00561,0.0045,0,0.00065,0.00015,0.00028,0.00045,0.00025,0,0,0,0.00023,0.00018,0.00196,0.00184,0.00189,0.00372,0.00005,0.0004,0.26801,29.93277,0.0003,0.00053,0.01296,0.00028,80.27677
Italicus Ilias Latina,epic,0.00123,0.00284,0,0.00073,0.00005,0.0002,0.0004,0.00008,0,0,0,0.0003,0.00008,0.00043,0.0004,0.00226,0.00058,0.00028,0.00013,0.25234,53.73684,0.00013,0.00023,0.01756,0.00013,116.06414
Juvenal Satires,miscellaneous,0.00239,0.00417,0.00012,0.00051,0.00008,0.00033,0.00066,0.00035,0.00001,0,0.00001,0.00018,0.00001,0.00085,0.00165,0.00189,0.00232,0.00029,0.0004,0.47923,36.27968,0.00038,0.00053,0.01629,0.00008,141.611
