Ancient Greek Prose Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
file name,Genre,freq_allos,freq_autos,freq_circumstantial_participial_clauses,freq_conditional_characters,freq_conjunction,freq_demonstrative,freq_indefinite_pronoun_in_any_sentence,freq_indefinite_pronoun_in_non_interrogative_sentence,freq_interrogatives,freq_men,freq_personal_pronouns,freq_purpose_clause,freq_reflexive,freq_superlative,freq_temporal_and_causal_clauses,freq_vocative_sentences,freq_ws,freq_wste_not_preceded_by_eta,mean_length_relative_clause,mean_sentence_length,non_interoggative_sentence_with_relative_clause,particles_per_sentence,relative_clause_per_sentence,variance_of_sentence_length
achilles_tatius.leucippe_et_clitophon.tess,miscellaneous,0.00252925,0.01546352,0.00052431,0.00134032,0.04987243,0.01199641,0.00232987,0.00238091,0.08592233,0.00827084,0.01509428,0.00108186,0.00280249,0.00242217,0.00204186,0.02281553,0.00322341,0.00084185,35.0150754,131.471359,0.09051015,1.41796117,0.0981898,7620.85598
aelian.de_natura_animalium.tess,miscellaneous,0.00346384,0.02123841,0.00080128,0.00260934,0.07786481,0.01964472,0.00282814,0.00282531,0.01067616,0.00693656,0.00129654,0.00083676,0.00449575,0.00709918,0.00330122,0.00578292,0.00251029,0.00011531,40.8194286,150.448399,0.1596223,2.02313167,0.19536871,8072.77625
aelian.epistulae_rusticae.tess,letters,0.00318126,0.01915986,0.00043381,0.00375967,0.07786856,0.01720772,0.00245825,0.00244615,0.11570248,0.00665172,0.0265346,0.00274745,0.00303666,0.00231364,0.00332586,0.04132231,0.00195214,0,56.25,114.305785,0.0754717,1.39166667,0.0754717,9530.95608
aelian.varia_historia.tess,miscellaneous,0.00392455,0.02849344,0.00077103,0.00209335,0.06258072,0.01882086,0.00233622,0.00233187,0.03888597,0.00535095,0.00323833,0.00079416,0.0039284,0.00530084,0.00416357,0.00840778,0.00149194,0.00034696,40.4416667,136.307409,0.16238382,1.40199685,0.18917441,6253.44255
aelius_aristides.ars_rhetorica.tess,technical treatise,0.00458003,0.01473692,0.00059271,0.00223613,0.06704804,0.01699101,0.00471474,0.00482146,0.06963788,0.0079028,0.00285578,0.00122134,0.00287374,0.00427469,0.00961806,0.00139276,0.00479556,0.00070048,37.9473684,155.087744,0.1570997,1.79108635,0.1918429,15718.7681
aelius_aristides.orationes.tess,oratory,0.00474676,0.01917876,0.00126515,0.00450352,0.05695034,0.02410486,0.00368414,0.00363576,0.17741935,0.00852573,0.01144305,0.00130122,0.00385781,0.00392171,0.00297504,0.04360465,0.00350635,0.00142851,44.400724,181.965491,0.26241297,2.27234362,0.3484762,21233.1226
aeschines.against_ctesiphon.tess,oratory,0.00238198,0.01369804,0.00102933,0.00388639,0.04610223,0.01649572,0.00253044,0.00245873,0.14202335,0.00713935,0.01781207,0.0011448,0.00352678,0.00283726,0.00410743,0.08171206,0.0027119,0.00091056,40.6606822,196.568742,0.29353612,1.87273902,0.39695817,26905.8095
aeschines.against_timarchus.tess,oratory,0.00238795,0.01700739,0.00157756,0.00527294,0.04501448,0.02116739,0.00341444,0.00351641,0.13450292,0.0072611,0.01521373,0.00150192,0.00516489,0.00316592,0.00430047,0.09161793,0.0026905,0.0010373,38.8674033,180.405458,0.29090909,1.73988439,0.38636364,21155.5705
aeschines.on_the_embassy.tess,oratory,0.00260488,0.0109168,0.00071042,0.00262856,0.04882958,0.01341511,0.0019063,0.00171835,0.13043478,0.00719893,0.0245924,0.00062754,0.00226151,0.00288904,0.00333898,0.06521739,0.00333898,0.00106563,43.4465409,204.002415,0.3,2.03381643,0.41111111,25415.9638
